date,areaType,areaCode,areaName,uniqueCasePositivityBySpecimenDateRollingSum
"2021-01-23",region,E12000007,London,18.1
"2021-01-22",region,E12000007,London,18.6
"2021-01-21",region,E12000007,London,19.2
"2021-01-20",region,E12000007,London,19.9
"2021-01-19",region,E12000007,London,20.4
"2021-01-18",region,E12000007,London,20.7
"2021-01-17",region,E12000007,London,20.9
"2021-01-16",region,E12000007,London,21
"2021-01-15",region,E12000007,London,21.2
"2021-01-14",region,E12000007,London,21.3
"2021-01-13",region,E12000007,London,21.5
"2021-01-12",region,E12000007,London,21.9
"2021-01-11",region,E12000007,London,22.6
"2021-01-10",region,E12000007,London,23.3
"2021-01-09",region,E12000007,London,24.1
"2021-01-08",region,E12000007,London,24.5
"2021-01-07",region,E12000007,London,25.2
"2021-01-06",region,E12000007,London,25.8
"2021-01-05",region,E12000007,London,25.9
"2021-01-04",region,E12000007,London,26.3
"2021-01-03",region,E12000007,London,26.3
"2021-01-02",region,E12000007,London,26.5
"2021-01-01",region,E12000007,London,27.5
"2020-12-31",region,E12000007,London,27.8
"2020-12-30",region,E12000007,London,27.7
"2020-12-29",region,E12000007,London,26.6
"2020-12-28",region,E12000007,London,24.1
"2020-12-27",region,E12000007,London,21.6
"2020-12-26",region,E12000007,London,19.6
"2020-12-25",region,E12000007,London,17.8
"2020-12-24",region,E12000007,London,17
"2020-12-23",region,E12000007,London,16.2
"2020-12-22",region,E12000007,London,15.7
"2020-12-21",region,E12000007,London,15.3
"2020-12-20",region,E12000007,London,14.9
"2020-12-19",region,E12000007,London,14.9
"2020-12-18",region,E12000007,London,14.8
"2020-12-17",region,E12000007,London,14.5
"2020-12-16",region,E12000007,London,14
"2020-12-15",region,E12000007,London,13.4
"2020-12-14",region,E12000007,London,12.7
"2020-12-13",region,E12000007,London,12
"2020-12-12",region,E12000007,London,11.5
"2020-12-11",region,E12000007,London,11.1
"2020-12-10",region,E12000007,London,10.6
"2020-12-09",region,E12000007,London,10
"2020-12-08",region,E12000007,London,9.6
"2020-12-07",region,E12000007,London,9.2
"2020-12-06",region,E12000007,London,8.8
"2020-12-05",region,E12000007,London,8.6
"2020-12-04",region,E12000007,London,8.4
"2020-12-03",region,E12000007,London,8.2
"2020-12-02",region,E12000007,London,8.1
"2020-12-01",region,E12000007,London,7.9
"2020-11-30",region,E12000007,London,7.8
"2020-11-29",region,E12000007,London,7.7
"2020-11-28",region,E12000007,London,7.7
"2020-11-27",region,E12000007,London,7.7
"2020-11-26",region,E12000007,London,7.7
"2020-11-25",region,E12000007,London,7.9
"2020-11-24",region,E12000007,London,8.1
"2020-11-23",region,E12000007,London,8.3
"2020-11-22",region,E12000007,London,8.5
"2020-11-21",region,E12000007,London,8.7
"2020-11-20",region,E12000007,London,8.9
"2020-11-19",region,E12000007,London,9.2
