regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaType,areaCode,areaName,date,newCasesBySpecimenDateRollingSum
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2021-01-23",17
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2021-01-16",39
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2021-01-09",29
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2021-01-02",52
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-12-26",46
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-12-19",40
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-12-12",15
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-12-05",15
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-11-28",18
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-11-21",11
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-11-14",23
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-11-07",11
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-10-31",17
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-10-24",20
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-10-17",
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-10-10",6
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-10-03",6
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-09-26",6
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-09-19",
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-09-12",
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-09-05",
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-08-29",
E12000007,London,E09000012,Hackney and City of London,E09000012,Hackney and City of London,msoa,E02000001,City of London,"2020-08-22",3
